Affordability Data: 1-Yr Change,Affordability Data: Foreclosures,Affordability Data: Homes For Sale,Affordability Data: Homes For Sale By Owner,Affordability Data: Homes Recently Sold,Affordability Data: Median 2-Bedroom Home Value,Affordability Data: Median 3-Bedroom Home Value,Affordability Data: Median 4-Bedroom Home Value,Affordability Data: Median Condo Value,Affordability Data: Median List Price,Affordability Data: Median List Price Per Sq Ft,Affordability Data: Median Sale Price,Affordability Data: Median Single Family Home Value,Affordability Data: Median Value Per Sq Ft,Affordability Data: New Construction,Affordability Data: Percent Homes Decreasing,Affordability Data: Percent Listing Price Reduction,Affordability Data: Property Tax,Affordability Data: Turnover (Sold Within Last Yr),Affordability Data: Zillow Home Value Index,BuiltYear: 1900-1919,BuiltYear: 1920-1939,BuiltYear: 1940-1959,BuiltYear: 1960-1979,BuiltYear: 1980-1999,BuiltYear: <1900,BuiltYear: >2000,Census Summary-AgeDecade: 0s,Census Summary-AgeDecade: 10s,Census Summary-AgeDecade: 20s,Census Summary-AgeDecade: 30s,Census Summary-AgeDecade: 40s,Census Summary-AgeDecade: 50s,Census Summary-AgeDecade: 60s,Census Summary-AgeDecade: >=70s,Census Summary-CommuteTime: 10-20min,Census Summary-CommuteTime: 20-30min,Census Summary-CommuteTime: 30-45min,Census Summary-CommuteTime: 45-60min,Census Summary-CommuteTime: <10min,Census Summary-CommuteTime: >=60min,Census Summary-HomeSize: 1000-1400sqft,Census Summary-HomeSize: 1400-1800sqft,Census Summary-HomeSize: 1800-2400sqft,Census Summary-HomeSize: 2400-3600sqft,Census Summary-HomeSize: <1000sqft,Census Summary-HomeSize: >3600sqft,Census Summary-HomeType: Condo,Census Summary-HomeType: Other,Census Summary-HomeType: SingleFamily,Census Summary-Household: NoKids,Census Summary-Household: WithKids,Census Summary-Occupancy: Own,Census Summary-Occupancy: Rent,Census Summary-RelationshipStatus: Divorced-Female,Census Summary-RelationshipStatus: Divorced-Male,Census Summary-RelationshipStatus: Married-Female,Census Summary-RelationshipStatus: Married-Male,Census Summary-RelationshipStatus: Single-Female,Census Summary-RelationshipStatus: Single-Male,Census Summary-RelationshipStatus: Widowed-Female,Census Summary-RelationshipStatus: Widowed-Male,Homes & Real Estate Data: Avg Year Built,Homes & Real Estate Data: Condos,Homes & Real Estate Data: Median Home Size (Sq Ft),Homes & Real Estate Data: Owners,Homes & Real Estate Data: Renters,Homes & Real Estate Data: Single-Family Homes,People Data: Average Commute Time (Minutes),People Data: Average Household Size,People Data: Homes With Kids,People Data: Median Age,People Data: Median Household Income,People Data: Single Females,People Data: Single Males,_id,city,id,latitude,longitude,name,state,url,zindex,drugs_alc,hood,prostitution,theft,violent,2011.0,2012.0,2013.0,2014.0,2015.0,chg_2011_2012,chg_2012_2013,chg_2013_2014,transit_score,walkscore,business,business_perc,character,character_perc,essentials,essentials_perc,nightlife,nightlife_perc,restaurants,restaurants_perc,workout,workout_perc,yelp_total
0.102,,0,,0,446200,534000,663600,369300,0,410,370500,568700,0,,0.045,0,2913,0.115,431700,0.1152891096133,0.0415040794608,0.053210358283,0.1106775452288,0.1624689606243,0.0418588151826,0.4749911316069,0.0698273234810158,0.0614721332267584,0.210411237406907,0.222130722421361,0.159760457231474,0.100382039995932,0.0611431851755522,0.114872901061,0.266281330068427,0.255069379257092,0.189151878627933,0.124736443955555,0.116523248268039,0.0482377198229543,0.2177149237067,0.161518422032,0.0774097506512,0.0684778563453,0.3870487532564,0.0714551544473,0.6447876447876,0.18673218673199998,0.1684801684801,0.850066140827795,0.149933859172205,0.35028618,0.64971382,0.0854375513590899,0.0602982799519792,0.178297193386233,0.186687382837076,0.197726979090431,0.218182040689239,0.0632616593158969,0.0101089133700551,1995,0.6447876447876,1197,0.35028618,0.64971382,0.1684801684801,26.56776121676753,1.82278897942217,0.149933859172205,39,41202.9453206937,0.197726979090431,0.218182040689239,5600638289a44ed0142ba89f,Seattle,250017,47.668328,-122.384536,Ballard,Washington,http://www.zillow.com/local-info/WA-Seattle/Ballard/r_250017/,397200,80,Ballard,0,4144,445,159,208,247,300,252,0.308176100629,0.1875,0.214574898785,51.0,92.1904761905,8,0.0313725490196,9,0.0352941176471,38,0.149019607843,55,0.21568627451,145,0.56862745098,0,0.0,255
0.106,,0,,0,326300,393800,438300,367200,0,249,365900,397200,0,,0.017,0,2877,0.043,395500,0.1106933019976,0.1165687426556,0.4404230317273,0.1219741480611,0.1132784958871,0.0061104582843,0.0909518213866,0.125334214111967,0.127391878121512,0.14299103731332,0.156691828793543,0.145237767065409,0.108579792084245,0.0886402478723034,0.105133234637701,0.324150672317244,0.234588935977033,0.226951951177361,0.0781877355302833,0.0623911176226305,0.0737295873754479,0.2247641509433,0.214858490566,0.2606132075471,0.1205188679245,0.1646226415094,0.0127358490566,0.0173618462841,0.1253440609781,0.8572940927376,0.693811230785462,0.306188769214538,0.70181959,0.29818041,0.0466593728901573,0.0388412660789759,0.25802479761823,0.266052362844145,0.151827621809746,0.173948175281429,0.0542811811695052,0.0103652223078124,1950,0.0173618462841,1610,0.70181959,0.29818041,0.8572940927376,27.88111727441325,3.10742637289388,0.306188769214538,37,45964.573467845,0.151827621809746,0.173948175281429,5600638289a44ed0142ba88c,Seattle,250050,47.556114,-122.302828,Beacon Hill,Washington,http://www.zillow.com/local-info/WA-Seattle/Beacon-Hill/r_250050/,361900,80,Beacon Hill,31,5879,520,206,214,309,281,180,0.0388349514563,0.443925233645,-0.0906148867314,53.96,61.32,44,0.222222222222,15,0.0757575757576,55,0.277777777778,5,0.0252525252525,75,0.378787878788,4,0.020202020202,198
0.116,,0,,0,297300,344700,387000,297600,0,238,375000,358300,0,,0.064,0,2577,0.06,350500,0.2366148531951,0.0990213010938,0.2740356937248,0.1801957397812,0.0713874496257,0.006332757628,0.132412204951,0.140525321584538,0.149295984998714,0.14228197107606,0.145342935926476,0.152718568240087,0.101002298316504,0.0619293966020317,0.106903523255589,0.224534993567668,0.268052266034815,0.228506345569198,0.146213978856115,0.0609199667698496,0.0717724492023546,0.2653179190751,0.2225433526011,0.2294797687861,0.079190751445,0.1768786127167,0.0190751445086,0.0716630196936,0.0990153172865,0.8293216630196,0.658755747836174,0.341244252163826,0.57567379,0.42432621,0.052587373323638,0.0335479506272839,0.251303846968087,0.245201113881102,0.152748522153362,0.19320052479575,0.0595753275194196,0.011835340731358,1952,0.0716630196936,1510,0.57567379,0.42432621,0.8293216630196,29.993724730416613,3.14967686126476,0.341244252163826,36,41107.5875270056,0.152748522153362,0.19320052479575,5600638289a44ed0142ba8a2,Seattle,250146,47.538786,-122.275961,Brighton,Washington,http://www.zillow.com/local-info/WA-Seattle/Brighton/r_250146/,324700,58,Brighton,6,1455,244,37,27,48,41,27,-0.27027027027,0.777777777778,-0.145833333333,60.3,71.5,42,0.259259259259,9,0.0555555555556,71,0.438271604938,0,0.0,39,0.240740740741,1,0.00617283950617,162
0.108,,0,,0,439400,554900,663600,367200,2075000,0,0,564600,654,,0,0,15450,0.08,508000,NA,0.5128205128205,0.3910256410256,0.0352564102564,NA,NA,0.0448717948717,0.0868957251298442,0.0681182580902917,0.120655213743508,0.146823811426288,0.143627646823811,0.16719936076708,0.0910906911705953,0.175589292848582,0.386012715712988,0.286557674841054,0.204359673024523,0.0399636693914623,0.0554041780199818,0.0277020890099909,NA,NA,0.0608974358974,0.4326923076923,NA,0.4903846153846,NA,NA,0.9873417721518,0.840254395809951,0.159745604190049,0.58046407,0.41953593,0.0725751752204386,0.029391815509835,0.257743612932399,0.258874067375085,0.171829075288266,0.126158715803753,0.0689577210038436,0.0144698168663803,1938,0.2496228965463,3580,0.58046407,0.41953593,0.9873417721518,24.41008174386921,1.86,0.159745604190049,44,75034,0.171829075288266,0.126158715803753,5600638289a44ed0142ba8e8,Seattle,250149,47.637395,-122.290642,Broadmoor,Washington,http://www.zillow.com/local-info/WA-Seattle/Broadmoor/r_250149/,,0,Broadmoor,0,247,14,16,24,21,18,17,0.5,-0.125,-0.142857142857,40.2222222222,35.7777777778,54,0.301675977654,24,0.134078212291,43,0.240223463687,13,0.072625698324,39,0.217877094972,6,0.0335195530726,179
0.066,,0,,0,449000,867100,1185300,373600,0,471,432700,1114500,0,,0.113,0,3360,0.07,435700,0.2592826471331,0.1640565799444,0.05127557464,0.1278100530436,0.180980045466,0.0109876231371,0.2056074766355,0.0883301945604157,0.0878027578720118,0.181527566436294,0.222138368063286,0.166936207031568,0.128743207429257,0.046332568409383,0.0781891301977849,0.36948122166505,0.243055160701428,0.174413139539797,0.0762244375784746,0.0868996703047729,0.0499263702104774,NA,NA,NA,NA,NA,NA,0.5993784959602,0.1502796768178,0.2503418272218,0.80406673154102,0.19593326845898,0.51158806,0.48841194,0.0803762303422849,0.0433246055601375,0.187243760654359,0.187638959662438,0.207002602816574,0.243227146780635,0.0414896896945265,0.00969700448904403,1961,0.5993784959602,1520,0.51158806,0.48841194,0.2503418272218,25.202654150037155,2.10003072845514,0.19593326845898,37,58707.4033251569,0.207002602816574,0.243227146780635,5600638289a44ed0142ba887,Seattle,250206,47.62622,-122.315979,Capitol Hill,Washington,http://www.zillow.com/local-info/WA-Seattle/Capitol-Hill/r_250206/,415600,432,Capitol Hill,2,10347,1571,288,287,375,359,270,-0.00347222222222,0.306620209059,-0.0426666666667,65.65,84.95,2,0.00851063829787,10,0.0425531914894,44,0.187234042553,44,0.187234042553,135,0.574468085106,0,0.0,235
0.076,,0,,0,416600,465300,576800,367200,0,325,0,476900,0,,0.05,0,3506,0.081,452400,0.0682839173405,0.1221922731356,0.4474393530997,0.0575022461814,0.2093441150044,NA,0.0934411500449,0.0906465913379762,0.0966397489461723,0.1739562018933,0.206336514908549,0.165655787524443,0.0992792071129718,0.0594838550611701,0.108002093215418,0.253043425005378,0.284849065403683,0.196330396247482,0.130536009007552,0.0918597548048913,0.0433813495310137,0.3024976873265,0.2432932469935,0.1544865864939,0.0712303422756,0.1998149861239,0.023126734505,0.2068965517241,0.0557029177717,0.7374005305039,0.815474320588003,0.184525679411997,0.58025415,0.41974585,0.067144842664826,0.0593585705204899,0.215029621541783,0.225145359387548,0.175850624615881,0.193217334381079,0.0516247750350531,0.0126288718533396,1949,0.2068965517241,1400,0.58025415,0.41974585,0.7374005305039,27.15960829084218,2.15196223315758,0.184525679411997,38,46550.4236175668,0.175850624615881,0.193217334381079,5600638289a44ed0142ba8d9,Seattle,250383,47.696053,-122.371382,Crown Hill,Washington,http://www.zillow.com/local-info/WA-Seattle/Crown-Hill/r_250383/,422100,15,Crown Hill,0,488,57,20,27,39,28,41,0.35,0.444444444444,-0.282051282051,52.4666666667,79.7333333333,74,0.373737373737,4,0.020202020202,53,0.267676767677,4,0.020202020202,59,0.29797979798,4,0.020202020202,198
0.143,,0,,0,490600,626500,707300,440000,0,419,554400,637300,0,,0.022,0,4202,0.081,567100,0.2550189907759,0.1413456321215,0.1030927835051,0.133749321758,0.1573521432447,0.0290287574606,0.180412371134,0.052404404923645,0.0441895745116376,0.290058145063624,0.271084659193384,0.158815035191436,0.0949717374546471,0.0295064727750693,0.0589699708865563,0.34875129685174,0.251956081495988,0.21064037626814,0.0684872349707794,0.0956132368032007,0.0245517736101526,0.2327683615819,0.1954802259887,0.1488700564971,0.0870056497175,0.2556497175141,0.0646892655367,0.4025869037995,0.18512530315269998,0.4122877930476,0.890115473879213,0.109884526120787,0.31936577,0.68063423,0.0656970834531383,0.0514425750256046,0.15377924626268,0.153177003752171,0.26542216086098,0.28070894711078,0.0261828458758195,0.00359013765882568,1952,0.4025869037995,1420,0.31936577,0.68063423,0.4122877930476,24.39701961759638,1.775175085758,0.109884526120787,36,44354.0479286694,0.26542216086098,0.28070894711078,5600638289a44ed0142ba88d,Seattle,250692,47.656187,-122.352184,Fremont,Washington,http://www.zillow.com/local-info/WA-Seattle/Fremont/r_250692/,505400,26,Fremont,0,3325,235,105,109,142,167,155,0.0380952380952,0.302752293578,0.176056338028,58.3043478261,83.652173913,32,0.150234741784,12,0.056338028169,38,0.178403755869,37,0.173708920188,90,0.422535211268,4,0.018779342723,213
0.108,,0,,0,439400,554900,663600,367200,249000,0,0,564600,143,,0,0.091,2517,0.073,508000,0.4252336448598,0.1869158878504,0.161214953271,NA,0.0327102803738,0.0607476635514,0.1214953271028,0.076076993583868,0.0659945004582951,0.219065077910174,0.186067827681027,0.186067827681027,0.138405132905591,0.0614115490375802,0.0669110907424381,0.390953150242326,0.148626817447496,0.135702746365105,0.0904684975767367,0.192245557350565,0.0420032310177706,0.2746478873239,0.1830985915492,0.1244131455399,0.0657276995305,0.3075117370892,0.0305164319248,0.1050328227571,0.1947483588621,0.7002188183807,0.855311355311355,0.144688644688645,0.34476534,0.65523466,0.0643863179074447,0.118712273641851,0.138832997987928,0.1579476861167,0.13682092555332,0.339034205231388,0.0372233400402415,0.00704225352112676,1919,0.1050328227571,1260,0.34476534,0.65523466,0.7002188183807,22.3021001615509,1.94,0.144688644688645,38,33654,0.13682092555332,0.339034205231388,5600638289a44ed0142ba8e2,Seattle,250714,47.540345,-122.316845,Georgetown,Washington,http://www.zillow.com/local-info/WA-Seattle/Georgetown/r_250714/,,59,Georgetown,10,1249,159,111,84,99,85,57,-0.243243243243,0.178571428571,-0.141414141414,47.875,71.625,34,0.201183431953,14,0.0828402366864,30,0.177514792899,23,0.136094674556,66,0.390532544379,2,0.0118343195266,169
0.1,,0,,0,537500,654300,752100,448800,0,433,693400,666600,0,,0.025,0,4686,0.058,624500,0.2628650904033,0.2562586926286,0.1286509040333,0.0737134909596,0.0883171070931,0.02016689847,0.1700278164116,0.071594347657832,0.0523173095773563,0.258285455408457,0.219073817717729,0.160218120387275,0.0975032926862585,0.0471681997509958,0.0938394568140967,0.345639528220906,0.236623728890419,0.211084472334105,0.0992718067950405,0.0596562924129351,0.0477241713465943,0.2487667371388,0.2286821705426,0.1744186046511,0.1057082452431,0.192036645525,0.0394644115574,0.227163047225,0.0910031023784,0.6818338503964,0.84373842159574,0.15626157840426,0.46838915,0.53161085,0.0667306128840938,0.0502033339775158,0.193542792597677,0.184585518555787,0.217388761903493,0.241604330905432,0.0409515963508173,0.00499305282518442,1928,0.227163047225,1487,0.46838915,0.53161085,0.6818338503964,26.718700963653927,1.99382149416316,0.15626157840426,37,55194.2985422671,0.217388761903493,0.241604330905432,5600638289a44ed0142ba896,Seattle,250780,47.679959,-122.333709,Green Lake,Washington,http://www.zillow.com/local-info/WA-Seattle/Green-Lake/r_250780/,573500,23,Green Lake,2,2608,120,71,86,100,95,69,0.211267605634,0.162790697674,-0.05,53.3913043478,75.8695652174,68,0.345177664975,5,0.0253807106599,33,0.167512690355,15,0.0761421319797,52,0.263959390863,24,0.121827411168,197
0.095,,0,,0,406800,490000,579900,295500,0,357,418300,496500,0,,0.035,0,3595,0.07,455100,0.2020787186914,0.2635883455443,0.1616970523087,0.0918384733344,0.1688532969841,0.0071562446754,0.1047878684614,0.0844318877250855,0.0824617071904197,0.212971811956105,0.229132566969393,0.168916281046814,0.0920715379986132,0.0454353931183765,0.0845788139951931,0.271956797040843,0.266587613787439,0.202425888509743,0.122509244444631,0.0905863882809246,0.0459340679364185,0.290595340811,0.2032786885245,0.1252804141501,0.0515962036238,0.3002588438308,0.0219154443485,0.2276176024279,0.0748609003539,0.697521497218,0.822343834338275,0.177656165661725,0.53467331,0.46532669,0.066160558683967,0.0571342746535438,0.197399058569959,0.204676915367045,0.195468861430415,0.226382415248212,0.0411324429902852,0.0116454730565732,1940,0.2276176024279,1280,0.53467331,0.46532669,0.697521497218,27.047505138787557,2.11020963468787,0.177656165661725,36,47339.3036922304,0.195468861430415,0.226382415248212,5600638289a44ed0142ba88a,Seattle,250788,47.694211,-122.355281,Greenwood,Washington,http://www.zillow.com/local-info/WA-Seattle/Greenwood/r_250788/,421400,118,Greenwood,235,3953,391,110,128,171,172,146,0.163636363636,0.3359375,0.00584795321637,52.652173913,80.1739130435,50,0.236966824645,10,0.0473933649289,44,0.208530805687,25,0.118483412322,76,0.36018957346,6,0.0284360189573,211
