hood,shopping-food,nightlife,art,transit_score,walkscore,theft-burglary,assualt-drugs,homicide,family vs single,expensiveness,Age
Admiral,0.0200007097176,0.0117022143669,0.0420061446804,44.3043478261,59.7826086957,0.0469369628781,0.0307599777607,-0.0606795199521,0.0555809469526,-0.0234349348236,0.0702462951023
Alki,0.0384136212381,0.0328025801684,0.0567223913403,33.9166666667,47.0416666667,0.0614856697756,0.0326867507639,-0.0606795199521,-0.00594530096937,-0.0476985245923,0.0601682623301
Arbor Heights,0.0682703061458,0.0591780374203,0.0616278068936,38.625,23.8125,0.0778624002384,0.0236535998014,-0.0606795199521,0.162033283869,0.102025494592,0.0487808361997
Atlantic,0.0314444831048,0.0539029459699,0.0567223913403,68.0,78.5,0.0417556794895,-0.0218439156222,0.0561847406964,0.0351125213283,0.0265677584222,0.0175128895235
Ballard,-0.253810819772,-0.310078364106,-0.178737555217,51.0,92.1904761905,-0.168463745491,-0.0104778412221,-0.0606795199521,-0.141994543555,0.0319679815459,0.0600001274964
Beacon Hill,-0.0496432443137,0.0380776716188,0.0272898980206,53.96,61.32,-0.224587854618,-0.0351683848642,0.523641783291,0.125152374568,0.141697013958,0.0529814988172
Belltown,-0.121669341663,-0.204576535099,-0.178737555217,95.3125,96.3125,-0.0974673007104,-0.0724824435119,0.114616871021,-0.235136428723,-0.0363102823199,-0.117176963799
Bitter Lake,0.0157033662847,0.0486278545196,0.0469115602337,47.9047619048,58.0476190476,0.0201641439992,0.0276179655236,-0.0606795199521,-0.0557820207496,0.0742826977646,0.296173842124
Blue Ridge,0.068032091814,0.0591780374203,0.0665332224469,45.2857142857,48.0,0.0883440702744,0.0491544677105,-0.0606795199521,0.0710082559012,-0.0460200387346,0.0725660548866
Brighton,0.0454714052819,0.0591780374203,0.0665332224469,60.3,71.5,-0.0146843969482,0.00100069902001,0.114616871021,0.108309417084,0.163397547132,0.0301097078206
Broadview,0.0468073026321,0.0539029459699,0.0567223913403,44.5454545455,44.3636363636,0.00573330690596,0.0393202017842,-0.0606795199521,0.0744211349408,0.0104458932265,0.216461828866
Bryant,0.0622120737496,0.0591780374203,0.0616278068936,46.3333333333,72.6666666667,0.0776870574457,0.0431190009156,-0.0606795199521,0.095210949826,-0.0738610696925,-0.016541106927
Capitol Hill,-0.285759996615,-0.626583851129,-0.325900021816,65.65,84.95,-0.617995006159,-0.260208863917,0.114616871021,1.48008785553e-17,7.06341177129e-18,-9.28156626342e-18
Central District,-0.0362842708117,-0.099074706091,-0.0806292441517,63.4583333333,90.7083333333,-0.102341051932,-0.0300724319344,0.231481131669,-0.137270338589,0.0135747618055,-0.00141899652785
Columbia City,-0.00241989385347,-0.0463237915872,-0.0315750886188,58.25,80.35,-0.0467509788984,0.0161661829201,-0.0606795199521,0.0548531736232,0.169366176351,-0.0618694812505
